Unnamed: 0,argument,sa_argument,hypothesis,is_fallacy 
428,"In 2012 , his colleague Roger Harrabin was reporting that the sea ice was now melting so fast that more had vanished that summer than “ at any time since satellite records began ” .","In 2012 , his colleague Roger Harrabin was reporting that the sea ice was now melting so fast that more had vanished that summer than “ at any time since satellite records began ” .",This argument is fallacious.,1
429,"In December 2013 , the world followed agog the plight of yet another “ scientific expedition ” , when 52 climate activists , accompanied by reporters from the BBC and the Guardian , sailed into the Antarctic to measure the effects of global warming on its sea-ice . By Christmas their ship was so dangerously trapped by thick , multi-year ice that they had to be helicoptered to a Chinese ship 10 miles away , which itself then got so trapped in ice that they had to be airlifted again to two other ships even further away .","In December 2013 , the world followed agog the plight of yet another “ scientific expedition ” , when 52 climate activists , accompanied by reporters from the BBC and the Guardian , sailed into the Antarctic to measure the effects of global warming on its sea-ice . By Christmas their ship was so dangerously trapped by thick , multi-year ice that they had to be helicoptered to a Chinese ship 10 miles away , which itself then got so trapped in ice that they had to be airlifted again to two other ships even further away .",This argument is fallacious.,1
430,"By Christmas their ship was so dangerously trapped by thick , multi-year ice that they had to be helicoptered to a Chinese ship 10 miles away , which itself then got so trapped in ice that they had to be airlifted again to two other ships even further away .","By Christmas their ship was so dangerously trapped by thick , multi-year ice that they had to be helicoptered to a Chinese ship 10 miles away , which itself then got so trapped in ice that they had to be airlifted again to two other ships even further away .",This argument is fallacious.,1
431,"But , alas , it just isn ’ t happening .","But , alas , it just isn ’ t happening .",This argument is fallacious.,1
432,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 .,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 .,This argument is fallacious.,1
433,"In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades .","In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades .",This argument is fallacious.,1
434,The greatest scare story of all simply isn ’ t turning out as their computer models predicted .,The greatest scare story of all simply isn ’ t turning out as their computer models predicted .,This argument is fallacious.,1
435,A synthesis of more than 350 publications on the effects of ocean acidification - which will be given to climate delegates at next month 's summit - reveals that almost half of the marine animal species tested reacted negatively to already moderate increases in seawater CO2 concentrations .,A synthesis of more than 350 publications on the effects of ocean acidification - which will be given to climate delegates at next month 's summit - reveals that almost half of the marine animal species tested reacted negatively to already moderate increases in seawater CO2 concentrations .,This argument is fallacious.,1
436,"For the past 500 million years , the atmospheric carbon dioxide content has been decreasing and if we halved today ’ s atmospheric carbon dioxide content , all life would die .","For the past 500 million years , the atmospheric carbon dioxide content has been decreasing and if we halved today ’ s atmospheric carbon dioxide content , all life would die .",This argument is fallacious.,1
437,"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total .","In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total .",This argument is fallacious.,1
438,"If we were so passionately concerned about our carbon footprint , then the best thing to do is to expire .","If we were so passionately concerned about our carbon footprint , then the best thing to do is to expire .",This argument is fallacious.,1
439,"In our lifetime , there has been no correlation between carbon dioxide emissions and temperature .","In our lifetime , there has been no correlation between carbon dioxide emissions and temperature .",This argument is fallacious.,1
440,"On a larger scale , the ice caps show that after a natural orbitally driven warming , atmospheric carbon dioxide content increases 800 years later . Rather than atmos­pheric carbon dioxide driving temperature , it is the opposite .","On a larger scale , the ice caps show that after a natural orbitally driven warming , atmospheric carbon dioxide content increases 800 years later . Rather than atmos­pheric carbon dioxide driving temperature , it is the opposite .",This argument is fallacious.,1
441,Geology shows us again there is no correlation between atmospheric carbon dioxide and temperature . Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present .,Geology shows us again there is no correlation between atmospheric carbon dioxide and temperature . Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present .,This argument is fallacious.,1
442,"The attack on emissions of the gas of life is an irrational attack on industry , our modern way of life , freedoms and prosperity .","The attack on emissions of the gas of life is an irrational attack on industry , our modern way of life , freedoms and prosperity .",This argument is fallacious.,1
443,"By ignoring history and geology , any claim of unusual weather can be made sensational .","By ignoring history and geology , any claim of unusual weather can be made sensational .",This argument is fallacious.,1
444,The geological history of the planet shows major planetary climate changes have never been driven by a trace gas . Just because we are alive today does not mean we change major planetary systems that operated for billions of years .,The geological history of the planet shows major planetary climate changes have never been driven by a trace gas . Just because we are alive today does not mean we change major planetary systems that operated for billions of years .,This argument is fallacious.,1
445,"These processes involve a transfer of energy , and water vapour makes the atmosphere behave like a giant airconditioner .","These processes involve a transfer of energy , and water vapour makes the atmosphere behave like a giant airconditioner .",This argument is fallacious.,1
446,Water is 12 times more effective than carbon dioxide with respect to all incoming and outgoing radiation .,Water is 12 times more effective than carbon dioxide with respect to all incoming and outgoing radiation .,This argument is fallacious.,1
447,"In the past , warming has never been a threat to life on Earth . Why should it be now ?","In the past , warming has never been a threat to life on Earth . Why should it be now ?",This argument is fallacious.,1
448,We are not living in a period of catastrophic climate change . The past tells us it ’ s business as usual .,We are not living in a period of catastrophic climate change . The past tells us it ’ s business as usual .,This argument is fallacious.,1
449,It has never been shown that human emissions of carbon dioxide drive global warming .,It has never been shown that human emissions of carbon dioxide drive global warming .,This argument is fallacious.,1
450,"Carbon dioxide is plant food . It is neither a pollutant nor a toxin . Without carbon dioxide , all life on Earth would die .","Carbon dioxide is plant food . It is neither a pollutant nor a toxin . Without carbon dioxide , all life on Earth would die .",This argument is fallacious.,1
451,The fossil record shows that a thriving and diversification of plant and animal life occurs every time the atmosphere had a very high carbon dioxide content .,The fossil record shows that a thriving and diversification of plant and animal life occurs every time the atmosphere had a very high carbon dioxide content .,This argument is fallacious.,1
452,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .,This argument is fallacious.,1
453,"When there is a low atmospheric carbon dioxide content , especially during very cold times , life struggles .","When there is a low atmospheric carbon dioxide content , especially during very cold times , life struggles .",This argument is fallacious.,1
454,"As soon as the words carbon footprint , emissions , pollution , and decarbonisation , climate emergency , extreme weather , unprecedented and extinction are used , I know I am being conned by ignorant activ­ists , populist scaremonger­ing , vote-chasing politicians and rent seekers .","As soon as the words carbon footprint , emissions , pollution , and decarbonisation , climate emergency , extreme weather , unprecedented and extinction are used , I know I am being conned by ignorant activ­ists , populist scaremonger­ing , vote-chasing politicians and rent seekers .",This argument is fallacious.,1
455,"There are no carbon emissions . If there were , we could not see because most carbon is black .","There are no carbon emissions . If there were , we could not see because most carbon is black .",This argument is fallacious.,1
456,We ’ ve had reefs on planet Earth for 3500 million years . They came and went many times .,We ’ ve had reefs on planet Earth for 3500 million years . They came and went many times .,This argument is fallacious.,1
457,Just because we are alive today does not mean we change major planetary systems that operated for billions of years .,Just because we are alive today does not mean we change major planetary systems that operated for billions of years .,This argument is fallacious.,1
458,Carbon dioxide is plant food . It is neither a pollutant nor a toxin .,Carbon dioxide is plant food . It is neither a pollutant nor a toxin .,This argument is fallacious.,1
459,"The study was “ very nicely done , ” she said , but the tendency of wet soils to produce methane could be counteracted by several factors .","The study was “ very nicely done , ” she said , but the tendency of wet soils to produce methane could be counteracted by several factors .",This argument is fallacious.,1
460,Now even that silver lining is in doubt .,Now even that silver lining is in doubt .,This argument is fallacious.,1
461,"Some experts , such as UN climate scientist Dr. Indur Goklany , have defended rising CO2 levels as a good thing for humanity . Goklany has argued that the rising level of carbon dioxide in the earth ’ s atmosphere “ is currently net beneficial for both humanity and the biosphere generally . ”","Some experts , such as UN climate scientist Dr. Indur Goklany , have defended rising CO2 levels as a good thing for humanity . Goklany has argued that the rising level of carbon dioxide in the earth ’ s atmosphere “ is currently net beneficial for both humanity and the biosphere generally . ”",This argument is fallacious.,1
462,"Despite recent attempts to paint the United States as a major global polluter , according to the World Health Organization ( WHO ) , the U.S. is among the cleanest nations on the planet . In the most recent WHO report on air pollution , the United States was listed as one of the countries with the cleanest air in the world , significantly cleaner in fact than the air in Germany , Italy , Switzerland , the UK , Japan , Austria and France . While France and other G7 countries lamented the U.S. exit from the Paris climate accord , America ’ s air is already cleaner than that of any other country in the G7 , except Canada with its scant population .","Despite recent attempts to paint the United States as a major global polluter , according to the World Health Organization ( WHO ) , the U.S. is among the cleanest nations on the planet . In the most recent WHO report on air pollution , the United States was listed as one of the countries with the cleanest air in the world , significantly cleaner in fact than the air in Germany , Italy , Switzerland , the UK , Japan , Austria and France . While France and other G7 countries lamented the U.S. exit from the Paris climate accord , America ’ s air is already cleaner than that of any other country in the G7 , except Canada with its scant population .",This argument is fallacious.,1
463,"With such relatively clean air throughout America , how can even reputable news agencies like Reuters continue spreading the well-worn lie that the United States is one of the “ biggest polluters ” in the world ? Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ’ s lungs , some have played a shell game , swapping a new measure of “ pollution ” based solely on emissions of carbon dioxide .","With such relatively clean air throughout America , how can even reputable news agencies like Reuters continue spreading the well-worn lie that the United States is one of the “ biggest polluters ” in the world ? Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ’ s lungs , some have played a shell game , swapping a new measure of “ pollution ” based solely on emissions of carbon dioxide .",This argument is fallacious.,1
464,The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is .,The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is .,This argument is fallacious.,1
465,"Without human intervention , the concentration of CO2 has climbed as high as 7,000 parts per million ( ppm ) in prior eras , whereas at present the concentration is just over 400 ppm .","Without human intervention , the concentration of CO2 has climbed as high as 7,000 parts per million ( ppm ) in prior eras , whereas at present the concentration is just over 400 ppm .",This argument is fallacious.,1
466,"CO2 is colorless , odorless and completely non-toxic . Plants depend on it to live and grow , and human beings draw some into their lungs with every breath they take to no ill effect whatsoever .","CO2 is colorless , odorless and completely non-toxic . Plants depend on it to live and grow , and human beings draw some into their lungs with every breath they take to no ill effect whatsoever .",This argument is fallacious.,1
467,"At the very low end of the spectrum , the United States has a concentration of just 8 , while China has a concentration more than seven times higher at 59 , India at 66 , Egypt at 101 and Saudi Arabia with the worst air pollution at 127 .","At the very low end of the spectrum , the United States has a concentration of just 8 , while China has a concentration more than seven times higher at 59 , India at 66 , Egypt at 101 and Saudi Arabia with the worst air pollution at 127 .",This argument is fallacious.,1
468,"In a recent list of the 25 cleanest cities in the world , the only country to boast three cities among the cleanest on the planet was the United States of America , with Chicago coming in second place , Honolulu coming in fourth , and Portland , OR , coming in sixteenth . Unsurprisingly , no cities from China , Russia or India made the list at all . Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .","In a recent list of the 25 cleanest cities in the world , the only country to boast three cities among the cleanest on the planet was the United States of America , with Chicago coming in second place , Honolulu coming in fourth , and Portland , OR , coming in sixteenth . Unsurprisingly , no cities from China , Russia or India made the list at all . Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .",This argument is fallacious.,1
469,"Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .","Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .",This argument is fallacious.,1
470,The list of the most polluted cities in the world was led by two cities from China followed by two more cities from India .,The list of the most polluted cities in the world was led by two cities from China followed by two more cities from India .,This argument is fallacious.,1
471,"Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ’ s lungs , some have played a shell game , swapping a new measure of “ pollution ” based solely on emissions of carbon dioxide .","Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ’ s lungs , some have played a shell game , swapping a new measure of “ pollution ” based solely on emissions of carbon dioxide .",This argument is fallacious.,1
472,"In the most recent WHO report on air pollution , the United States was listed as one of the countries with the cleanest air in the world , significantly cleaner in fact than the air in Germany , Italy , Switzerland , the UK , Japan , Austria and France . While France and other G7 countries lamented the U.S. exit from the Paris climate accord , America ’ s air is already cleaner than that of any other country in the G7 , except Canada with its scant population .","In the most recent WHO report on air pollution , the United States was listed as one of the countries with the cleanest air in the world , significantly cleaner in fact than the air in Germany , Italy , Switzerland , the UK , Japan , Austria and France . While France and other G7 countries lamented the U.S. exit from the Paris climate accord , America ’ s air is already cleaner than that of any other country in the G7 , except Canada with its scant population .",This argument is fallacious.,1
473,"Also , it is increasingly clear that the planet was significantly warmer than today several times during the past 10,000 years .","Also , it is increasingly clear that the planet was significantly warmer than today several times during the past 10,000 years .",This argument is fallacious.,1
474,"On a global scale , as scientists keep confirming , there has been no increase in frequency or intensity of storms , floods or droughts , while deaths attributed to such natural disasters have never been fewer , thanks to modern technology and infrastructure .","On a global scale , as scientists keep confirming , there has been no increase in frequency or intensity of storms , floods or droughts , while deaths attributed to such natural disasters have never been fewer , thanks to modern technology and infrastructure .",This argument is fallacious.,1
475,"It can not be what is happening to world temperatures , because they have gone up only very slowly , less than half as fast as the scientific consensus predicted in 1990 when the global-warming scare began in earnest .","It can not be what is happening to world temperatures , because they have gone up only very slowly , less than half as fast as the scientific consensus predicted in 1990 when the global-warming scare began in earnest .",This argument is fallacious.,1
476,"Even with this year ’ s El Niño-boosted warmth threatening to break records , the world is barely half a degree Celsius ( 0.9 degrees Fahrenheit ) warmer than it was about 35 years ago .","Even with this year ’ s El Niño-boosted warmth threatening to break records , the world is barely half a degree Celsius ( 0.9 degrees Fahrenheit ) warmer than it was about 35 years ago .",This argument is fallacious.,1
477,Sea level continues its centuries-long slow rise—about a foot a century—with no sign of recent acceleration .,Sea level continues its centuries-long slow rise—about a foot a century—with no sign of recent acceleration .,This argument is fallacious.,1
478,"In February President Obama said , a little carelessly , that climate change is a greater threat than terrorism .","In February President Obama said , a little carelessly , that climate change is a greater threat than terrorism .",This argument is fallacious.,1
479,"What precisely makes these world leaders so convinced that climate change is a more urgent and massive threat than the incessant rampages of Islamist violence ? It can not be what is happening to world temperatures , because they have gone up only very slowly , less than half as fast as the scientific consensus predicted in 1990 when the global-warming scare began in earnest .","What precisely makes these world leaders so convinced that climate change is a more urgent and massive threat than the incessant rampages of Islamist violence ? It can not be what is happening to world temperatures , because they have gone up only very slowly , less than half as fast as the scientific consensus predicted in 1990 when the global-warming scare began in earnest .",This argument is fallacious.,1
480,"Next week he will be in Paris , a city terrorized yet again by mass murderers , for a summit with other world leaders on climate change , not terrorism . What precisely makes these world leaders so convinced that climate change is a more urgent and massive threat than the incessant rampages of Islamist violence ? It can not be what is happening to world temperatures , because they have gone up only very slowly , less than half as fast as the scientific consensus predicted in 1990 when the global-warming scare began in earnest .","Next week he will be in Paris , a city terrorized yet again by mass murderers , for a summit with other world leaders on climate change , not terrorism . What precisely makes these world leaders so convinced that climate change is a more urgent and massive threat than the incessant rampages of Islamist violence ? It can not be what is happening to world temperatures , because they have gone up only very slowly , less than half as fast as the scientific consensus predicted in 1990 when the global-warming scare began in earnest .",This argument is fallacious.,1
481,"Next week he will be in Paris , a city terrorized yet again by mass murderers , for a summit with other world leaders on climate change , not terrorism .","Next week he will be in Paris , a city terrorized yet again by mass murderers , for a summit with other world leaders on climate change , not terrorism .",This argument is fallacious.,1
482,"They say there is great uncertainty , and they reflected this uncertainty in their fifth and latest assessment for the United Nations Intergovernmental Panel on Climate Change ( IPCC ) .","They say there is great uncertainty , and they reflected this uncertainty in their fifth and latest assessment for the United Nations Intergovernmental Panel on Climate Change ( IPCC ) .",This argument is fallacious.,1
483,"An important factor in the fires of the past week was that people are building homes in areas that are naturally prone to wildfires , or where naturally dry conditions mean that the kinds of building materials and vegetation that people prefer to use in cities and suburbs are a fire hazard .","An important factor in the fires of the past week was that people are building homes in areas that are naturally prone to wildfires , or where naturally dry conditions mean that the kinds of building materials and vegetation that people prefer to use in cities and suburbs are a fire hazard .",This argument is fallacious.,1
484,"However , climate scientists are more skeptical , noting that climate change could be one of a variety of factors .","However , climate scientists are more skeptical , noting that climate change could be one of a variety of factors .",This argument is fallacious.,1
485,"And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change .","And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change .",This argument is fallacious.,1
486,California Governor Jerry Brown blamed climate change for the California fires that have devastated the state this fall during a visit to assess the damage in Ventura County on Saturday .,California Governor Jerry Brown blamed climate change for the California fires that have devastated the state this fall during a visit to assess the damage in Ventura County on Saturday .,This argument is fallacious.,1
487,"We have to have the resources to combat the fires , and also have to invest in managing our vegetation and forests and all the ways we dwell in this very wonderful place — but a place that ’ s getting hotter . ”","We have to have the resources to combat the fires , and also have to invest in managing our vegetation and forests and all the ways we dwell in this very wonderful place — but a place that ’ s getting hotter . ”",This argument is fallacious.,1
488,"Once a year or so , journalists from major news outlets travel to the Marshall Islands , a remote chain of volcanic islands and coral atolls in the Pacific Ocean , to report in panicked tones that the island nation is vanishing because of climate change .","Once a year or so , journalists from major news outlets travel to the Marshall Islands , a remote chain of volcanic islands and coral atolls in the Pacific Ocean , to report in panicked tones that the island nation is vanishing because of climate change .",This argument is fallacious.,1
489,"Acknowledging this doesn ’ t mean that global warming isn ’ t real , or that world leaders and scientists shouldn ’ t tackle the adverse effects of climate change , but hype and exaggeration serve no one .","Acknowledging this doesn ’ t mean that global warming isn ’ t real , or that world leaders and scientists shouldn ’ t tackle the adverse effects of climate change , but hype and exaggeration serve no one .",This argument is fallacious.,1
490,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .","Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .",This argument is fallacious.,1
491,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”","In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”",This argument is fallacious.,1
492,"Some 52.7 % of the Marshall Islands population lives below the poverty line , according to the Asian Development Bank . Only 39.3 % of the population age 15 years and above is employed .","Some 52.7 % of the Marshall Islands population lives below the poverty line , according to the Asian Development Bank . Only 39.3 % of the population age 15 years and above is employed .",This argument is fallacious.,1
493,It will slow the world ’ s economic growth to force a shift to inefficient green energy sources .,It will slow the world ’ s economic growth to force a shift to inefficient green energy sources .,This argument is fallacious.,1
494,"My peer-reviewed research , published last November in the journal Global Policy , shows that even if every nation were to fulfill all their carbon-cutting promises by 2030 and stick to them all the way through the century—at a cost of more than $ 100 trillion in lost GDP—global temperature rise would be reduced by a tiny 0.3°F ( 0.17°C ) .","My peer-reviewed research , published last November in the journal Global Policy , shows that even if every nation were to fulfill all their carbon-cutting promises by 2030 and stick to them all the way through the century—at a cost of more than $ 100 trillion in lost GDP—global temperature rise would be reduced by a tiny 0.3°F ( 0.17°C ) .",This argument is fallacious.,1
495,"Instead of simply mandating less carbon output , we need more R & D spending on green energy , including more efficient fission and fusion , cheaper solar and wind , and improved storage . New technology is crucial if green energy is to out-compete fossil fuels .","Instead of simply mandating less carbon output , we need more R & D spending on green energy , including more efficient fission and fusion , cheaper solar and wind , and improved storage . New technology is crucial if green energy is to out-compete fossil fuels .",This argument is fallacious.,1
496,"Tackling issues like poverty , health care , corruption and domestic violence would do even more .","Tackling issues like poverty , health care , corruption and domestic violence would do even more .",This argument is fallacious.,1
497,"At a cost of between $ 1 trillion and $ 2 trillion annually , the Paris climate agreement , recently ratified by China , is likely to be history ’ s most expensive treaty .","At a cost of between $ 1 trillion and $ 2 trillion annually , the Paris climate agreement , recently ratified by China , is likely to be history ’ s most expensive treaty .",This argument is fallacious.,1
498,It is understandable why Marshall Island leaders might prefer to talk about global warming .,It is understandable why Marshall Island leaders might prefer to talk about global warming .,This argument is fallacious.,1
499,"Telling viewers in the U.S. starkly that they ’ re “ making this island disappear , ” as a report from CNN ’ s John Sutter did in June 2015 , makes for good , blame-laden television .","Telling viewers in the U.S. starkly that they ’ re “ making this island disappear , ” as a report from CNN ’ s John Sutter did in June 2015 , makes for good , blame-laden television .",This argument is fallacious.,1
500,"The polar bear ’ s resilience should have meant the end of its use as a cherished icon of global warming doom , but it didn ’ t . The alarmism is not going away without a struggle .","The polar bear ’ s resilience should have meant the end of its use as a cherished icon of global warming doom , but it didn ’ t . The alarmism is not going away without a struggle .",This argument is fallacious.,1
501,My close examination of recent research has revealed that serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers .,My close examination of recent research has revealed that serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers .,This argument is fallacious.,1
502,"More food for seals in summer means more fat seal pups for polar bears to eat the following spring , a result that ’ s probably true throughout the Arctic . As long as polar bears have lots of baby seals to eat in spring , they get fat enough to survive even a longer-than-usual summer fast .","More food for seals in summer means more fat seal pups for polar bears to eat the following spring , a result that ’ s probably true throughout the Arctic . As long as polar bears have lots of baby seals to eat in spring , they get fat enough to survive even a longer-than-usual summer fast .",This argument is fallacious.,1
503,"And while it ’ s true that studies in some regions show polar bears are lighter in weight than they were in the 1980s , there is no evidence that more individuals are starving to death or becoming too thin to reproduce because of less summer ice .","And while it ’ s true that studies in some regions show polar bears are lighter in weight than they were in the 1980s , there is no evidence that more individuals are starving to death or becoming too thin to reproduce because of less summer ice .",This argument is fallacious.,1
504,Some cancers induce a muscle-wasting syndrome that leads to faster-than-usual weight loss . This is likely what happened to the emaciated Baffin Island bear captured on video in July 2017 and promoted by National Geographic late last year .,Some cancers induce a muscle-wasting syndrome that leads to faster-than-usual weight loss . This is likely what happened to the emaciated Baffin Island bear captured on video in July 2017 and promoted by National Geographic late last year .,This argument is fallacious.,1
505,"The videographers claimed it showed what starvation due to sea-ice loss looked like — an implausible conclusion given the time of year , the isolated nature of the incident , and the fact that sea ice that year was no more reduced than previously .","The videographers claimed it showed what starvation due to sea-ice loss looked like — an implausible conclusion given the time of year , the isolated nature of the incident , and the fact that sea ice that year was no more reduced than previously .",This argument is fallacious.,1
506,The failure of the 2007 polar bear survival model is a simple fact that explodes the myth that polar bears are on their way to extinction .,The failure of the 2007 polar bear survival model is a simple fact that explodes the myth that polar bears are on their way to extinction .,This argument is fallacious.,1
507,This is likely what happened to the emaciated Baffin Island bear captured on video in July 2017 and promoted by National Geographic late last year .,This is likely what happened to the emaciated Baffin Island bear captured on video in July 2017 and promoted by National Geographic late last year .,This argument is fallacious.,1
508,"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen .","Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen .",This argument is fallacious.,1
509,"One reason that the 2007 predictions of future polar bear survival were so far off base is that the model developed by American biologist Steven Amstrup ( now at Polar Bears International , an NGO ) assumed any polar bear population decline would be caused by less summer ice , despite the Beaufort Sea experience .","One reason that the 2007 predictions of future polar bear survival were so far off base is that the model developed by American biologist Steven Amstrup ( now at Polar Bears International , an NGO ) assumed any polar bear population decline would be caused by less summer ice , despite the Beaufort Sea experience .",This argument is fallacious.,1
510,"This increase may not be statistically significant , but it is decidedly not the 67-per-cent decline that was predicted given the ice conditions that prevailed .","This increase may not be statistically significant , but it is decidedly not the 67-per-cent decline that was predicted given the ice conditions that prevailed .",This argument is fallacious.,1
511,"Prof Tim Benton at the University of Leeds , who was not part of the research team , said : “ Ultimately , we live on a finite planet , with finite resources .","Prof Tim Benton at the University of Leeds , who was not part of the research team , said : “ Ultimately , we live on a finite planet , with finite resources .",This argument is fallacious.,1
512,"Prof Peter Smith at the University of Aberdeen , who was also not part of the research team , said : “ We know food choices are very personal , and that behaviour change can be difficult to encourage , but the evidence is now unequivocal – we need to change our diets if we are to have a sustainable future .","Prof Peter Smith at the University of Aberdeen , who was also not part of the research team , said : “ We know food choices are very personal , and that behaviour change can be difficult to encourage , but the evidence is now unequivocal – we need to change our diets if we are to have a sustainable future .",This argument is fallacious.,1
513,The research also finds that enormous changes to farming are needed to avoid destroying the planet ’ s ability to feed the 10 billion people expected to be on the planet in a few decades .,The research also finds that enormous changes to farming are needed to avoid destroying the planet ’ s ability to feed the 10 billion people expected to be on the planet in a few decades .,This argument is fallacious.,1
514,"This trajectory would smash critical environmental limits beyond which humanity will struggle to live , the new research indicates . “","This trajectory would smash critical environmental limits beyond which humanity will struggle to live , the new research indicates . “",This argument is fallacious.,1
515,"Huge reductions in meat-eating are essential to avoid dangerous climate change , according to the most comprehensive analysis yet of the food system ’ s impact on the environment .","Huge reductions in meat-eating are essential to avoid dangerous climate change , according to the most comprehensive analysis yet of the food system ’ s impact on the environment .",This argument is fallacious.,1
516,"It ’ s a big enough deal that yesterday President Obama even tweeted about it , including a map showing the maximum heat index in some parts of the Midwest and Southeast reaching 110 or 115 degrees on Saturday .","It ’ s a big enough deal that yesterday President Obama even tweeted about it , including a map showing the maximum heat index in some parts of the Midwest and Southeast reaching 110 or 115 degrees on Saturday .",This argument is fallacious.,1
517,"Well the answer is , it ’ s both , ” said Texas Tech University climate scientist Katharine Hayhoe on a press call Thursday . “ We get heat waves naturally , but climate change is amping them up , it ’ s giving them that extra energy , to make them even more serious , and have even greater impacts . ”","Well the answer is , it ’ s both , ” said Texas Tech University climate scientist Katharine Hayhoe on a press call Thursday . “ We get heat waves naturally , but climate change is amping them up , it ’ s giving them that extra energy , to make them even more serious , and have even greater impacts . ”",This argument is fallacious.,1
518,A new National Academies study suggests that ‘ heat waves ’ may be one of the primary climate change markers like home runs were in baseball . ”,A new National Academies study suggests that ‘ heat waves ’ may be one of the primary climate change markers like home runs were in baseball . ”,This argument is fallacious.,1
519,"They may not have science on their side , but those who claim either that climate change is n't real or say it 's not a big problem have a lot of money and media platforms .","They may not have science on their side , but those who claim either that climate change isn't real or say it 's not a big problem have a lot of money and media platforms .",This argument is fallacious.,1
520,"That combination is deadly : thanks to sea-level rise due to climate change , flooding is going to get much worse .","That combination is deadly : thanks to sea-level rise due to climate change , flooding is going to get much worse .",This argument is fallacious.,1
521,"In other words , record-breaking temperatures this year are specifically from El Niño , but the general increase in global temperatures is part of the trend due to climate change .","In other words , record-breaking temperatures this year are specifically from El Niño , but the general increase in global temperatures is part of the trend due to climate change .",This argument is fallacious.,1
522,"Climatology Professor David Legates adds , “ In twelve years it ’ ll be 12 more years . ”","Climatology Professor David Legates adds , “ In twelve years it ’ ll be 12 more years . ”",This argument is fallacious.,1
523,“ You acknowledge though the water is rising ? ” asks Stossel .,“ You acknowledge though the water is rising ? ” asks Stossel .,This argument is fallacious.,1
524,"So many years ago , the Dutch built dikes to prevent flooding .","So many years ago , the Dutch built dikes to prevent flooding .",This argument is fallacious.,1
525,"Pat Michaels , former president of the American Association of State Climatologists , says , “ It 's warmed up around one degree Celsius since 1900 , and life expectancy DOUBLED … yet [ if ] that temperature ticks up another half a degree … the entire system crashes ? That 's the most absurd belief . ''","Pat Michaels , former president of the American Association of State Climatologists , says , “ It 's warmed up around one degree Celsius since 1900 , and life expectancy DOUBLED … yet [ if ] that temperature ticks up another half a degree … the entire system crashes ? That 's the most absurd belief . ''",This argument is fallacious.,1
526,"The 3 scientists argue that even if the planet warms by 5 degrees , humans can adjust .","The 3 scientists argue that even if the planet warms by 5 degrees , humans can adjust .",This argument is fallacious.,1
527,It wouldn ’ t stop global warming but : “ You ’ ll sure have an impoverished dark country.,It wouldn ’ t stop global warming but : “ You ’ ll sure have an impoverished dark country.,This argument is fallacious.,1
